iter	Passed	Remaining
560	5070	3967
561	5080	3959
562	5091	3951
563	5100	3942
564	5110	3934
565	5119	3925
566	5129	3917
567	5139	3908
568	5150	3901
569	5159	3892
570	5169	3884
571	5178	3875
572	5188	3866
573	5198	3858
574	5208	3849
575	5218	3841
576	5227	3832
577	5236	3823
578	5246	3814
579	5255	3805
580	5264	3796
581	5274	3787
582	5283	3779
583	5293	3770
584	5303	3762
585	5313	3753
586	5322	3744
587	5331	3735
588	5341	3726
589	5350	3718
590	5359	3709
591	5369	3700
592	5378	3691
593	5388	3682
594	5397	3673
595	5405	3664
596	5415	3655
597	5424	3646
598	5434	3637
599	5443	3628
600	5451	3619
601	5461	3610
602	5470	3601
603	5480	3593
604	5489	3584
605	5500	3576
606	5509	3567
607	5519	3558
608	5528	3549
609	5538	3540
610	5548	3532
611	5557	3523
612	5567	3514
613	5577	3506
614	5586	3497
615	5597	3489
616	5607	3480
617	5617	3472
618	5628	3464
619	5637	3455
620	5648	3447
621	5657	3438
622	5666	3429
623	5675	3419
624	5685	3411
625	5694	3402
626	5705	3393
627	5714	3385
628	5724	3376
629	5735	3368
630	5744	3359
631	5753	3350
632	5763	3341
633	5772	3332
634	5781	3322
635	5790	3313
636	5799	3304
637	5809	3296
638	5818	3286
639	5827	3278
640	5837	3269
641	5846	3260
642	5857	3252
643	5866	3243
644	5876	3234
645	5886	3225
646	5896	3217
647	5906	3208
648	5915	3199
649	5924	3190
650	5934	3181
651	5944	3172
652	5953	3163
653	5963	3154
654	5972	3146
655	5982	3137
656	5992	3128
657	6002	3119
658	6011	3110
659	6021	3102
660	6030	3092
661	6039	3083
662	6048	3074
663	6057	3065
664	6067	3056
665	6077	3047
666	6086	3038
667	6096	3029
668	6106	3021
669	6117	3013
670	6127	3004
671	6137	2995
672	6146	2986
673	6157	2978
674	6167	2969
675	6177	2960
676	6186	2951
677	6195	2942
678	6204	2933
679	6213	2923
680	6223	2915
681	6233	2906
682	6242	2897
683	6252	2888
684	6261	2879
685	6271	2870
686	6281	2861
687	6290	2852
688	6299	2843
689	6308	2834
690	6320	2826
691	6329	2817
692	6340	2808
693	6350	2800
694	6360	2791
695	6370	2782
696	6380	2773
697	6388	2764
698	6398	2755
699	6408	2746
700	6418	2737
701	6427	2728
702	6437	2719
703	6446	2710
704	6455	2701
705	6465	2692
706	6474	2683
707	6484	2674
708	6495	2665
709	6504	2656
710	6513	2647
711	6522	2638
712	6531	2629
713	6541	2620
714	6551	2611
715	6561	2602
716	6571	2593
717	6580	2584
718	6590	2575
719	6599	2566
720	6608	2557
721	6617	2548
722	6628	2539
723	6638	2530
724	6647	2521
725	6658	2512
726	6667	2503
727	6678	2495
728	6688	2486
729	6697	2477
730	6709	2469
731	6720	2460
732	6730	2451
733	6741	2443
734	6750	2433
735	6760	2424
736	6768	2415
737	6779	2406
738	6790	2398
739	6799	2389
740	6810	2380
741	6820	2371
742	6830	2362
743	6840	2353
744	6850	2344
745	6859	2335
746	6869	2326
747	6879	2317
748	6889	2308
749	6898	2299
750	6908	2290
751	6918	2281
752	6928	2272
753	6938	2263
754	6947	2254
755	6957	2245
756	6967	2236
757	6977	2227
758	6987	2218
759	6996	2209
760	7006	2200
761	7016	2191
762	7026	2182
763	7037	2173
764	7046	2164
765	7056	2155
766	7067	2146
767	7076	2137
768	7088	2129
769	7100	2120
